Applicant's name,Applicant's date of birth,Applicant's contact information,Social Security Number,Loan or insurance policy type,Loan or policy amount,Application date,Application source,Income details,Credit score or credit history,Outstanding debts or liabilities,Identification documents,Employment verification documents,Income verification documents,Details about co-applicants,Property details,Vehicle details,Other asset details,Previous insurance claims history,Previous loan applications or approvals,Geographical data,Risk scores or flags assigned during initial risk assessment,Fraud Indicators,Decision or Outcome,Notes or Comments
Ashley Smith,1970-05-24,"Unit 0604 Box 9141
DPO AE 09233",815-65-9450,Mortgage,54982,2021-03-20 23:58:39,Online,322558,317,34740,Passport,Letter of Employment,Tax Return,Spouse,Apartment,Truck,Stocks,Previous Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Approved,Some have age never.
Lance Johnson,1984-02-17,"566 Ritter Lake Suite 392
East Michael, IN 20755",461-01-5079,Mortgage,80651,2022-03-02 03:10:50,Online,558549,304,65789,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Truck,Artwork,Previous Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Further Investigation,Onto ahead recently.
Michael Beard,1977-08-26,"8850 Tyrone Knoll Suite 964
Gomezchester, CT 10400",644-03-8971,Auto Loan,96372,2021-10-16 07:41:58,Online,951425,466,32771,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,Truck,Artwork,Previous Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Approved,Stage land society rather far south treatment whose.
Daniel Campbell,1979-05-12,"PSC 0995, Box 0201
APO AP 17361",,Mortgage,82611,2022-01-21 23:31:44,In-Person,296607,581,9287,Driver's License,Pay Stub,Bank Statements,Spouse,Condo,Sedan,Stocks,Previous Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Campaign gun it.
Tony Robinson,1967-05-16,"44853 Brett Divide
South Travisborough, AL 50997",819-89-7394,Life Insurance,73918,2023-06-16 14:03:40,Online,889861,669,51225,Passport,Pay Stub,Tax Return,Spouse,Single-Family Home,Sedan,Stocks,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Generation produce gun my thank generation.
Laura Lewis,1999-04-08,"7391 Casey Loaf Suite 623
North Bethport, VI 94830",871-63-4065,Life Insurance,35207,2021-01-11 18:16:58,In-Person,384446,600,16507,Passport,Letter of Employment,Tax Return,Spouse,Condo,Sedan,Artwork,Previous Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Denied,Follow class hear by western nice draw.
Amy Hill,1963-08-27,"12486 Ronald Locks
New Katherineland, WI 93002",114-70-5757,Auto Loan,69057,2023-05-24 03:01:17,Online,910324,437,74205,Driver's License,Pay Stub,Tax Return,Child,Apartment,Truck,Stocks,No Claims,No Applications,High Risk Area,High Risk,Red Flags,Denied,Tv throw under decade stage work operation mention.
Justin Dixon,1997-11-02,"811 Troy Crossing Apt. 631
North Yesenia, GA 31412",,Life Insurance,37619,2023-10-01 13:58:21,In-Person,496426,306,31682,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Board nearly politics appear themselves smile.
Jessica Green,1965-11-18,"68928 William Pass
Greenshire, TX 51758",602-75-7151,Auto Loan,31947,2023-06-03 13:08:23,Online,242584,823,86546,Passport,Pay Stub,Tax Return,Child,Apartment,SUV,Artwork,Previous Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Denied,Event people cup response fear truth lot.
Katie Clark,1959-12-11,"PSC 9480, Box 7066
APO AE 08364",041-77-3685,Auto Loan,42405,2021-05-05 16:52:42,In-Person,390747,667,33388,Passport,Pay Stub,Tax Return,Spouse,Condo,SUV,Jewelry,No Claims,Previous Applications,High Risk Area,Low Risk,Red Flags,Approved,Republican class democratic community ahead.
Gloria Park,2000-12-31,"90059 Vanessa Lane Suite 485
Juliehaven, CT 14954",862-28-0251,Life Insurance,8486,2021-03-02 10:19:37,Online,505927,825,52838,Driver's License,Pay Stub,Tax Return,Child,Apartment,SUV,Stocks,No Claims,No Applications,High Risk Area,High Risk,Red Flags,Denied,Create teacher administration rock prove no.
Timothy Schmidt,2000-01-22,"0158 Webb Glen Apt. 469
Tylerhaven, VI 85791",,Auto Loan,26452,2022-05-28 11:24:46,Online,969766,760,15852,Driver's License,Pay Stub,Bank Statements,Child,Condo,Truck,Stocks,No Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Approved,Best point pretty rather.
Bonnie Hudson DVM,1970-11-18,"120 David Creek Suite 854
Troyberg, KY 92765",346-51-0239,Life Insurance,84817,2023-01-10 09:11:11,In-Person,27786,397,11681,Passport,Pay Stub,Bank Statements,Child,Apartment,Truck,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Let either week work side stuff.
Chelsea Carney,1959-07-21,"Unit 5635 Box 0316
DPO AE 40170",,Life Insurance,71642,2023-06-05 21:44:56,Online,347800,487,58832,Driver's License,Pay Stub,Tax Return,None,Single-Family Home,Truck,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Successful those that piece set training green house.
Robert Yang,1981-02-20,"Unit 9215 Box 7500
DPO AA 30069",534-40-2144,Auto Loan,74565,2023-08-30 11:43:33,Online,232122,748,21929,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,SUV,Artwork,No Claims,Previous Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Task assume for up off wall green painting.
Garrett Carroll,2000-01-31,"18886 Berry Skyway
Hannahberg, WA 46509",,Life Insurance,51930,2021-10-28 04:06:41,In-Person,755095,384,5769,Passport,Pay Stub,Bank Statements,None,Single-Family Home,SUV,Jewelry,Previous Claims,No Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Program anything in every simply culture.
Abigail Estrada,1978-11-26,"187 Priscilla Run
Jerrybury, AS 76717",,Mortgage,92005,2021-06-18 20:11:58,Online,509011,679,68148,Driver's License,Letter of Employment,Bank Statements,None,Apartment,Truck,Stocks,Previous Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Denied,Politics among but factor any between list.
Mr. Sean Watson,1968-11-27,"63288 Patterson Loaf
New Dawn, CT 71592",255-42-8185,Life Insurance,28607,2021-08-06 03:36:14,Online,825995,728,97187,Driver's License,Pay Stub,Tax Return,Child,Single-Family Home,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,Red Flags,Approved,Others you research even phone.
Tracy Wilcox,1967-02-01,"67366 Michael Keys
Port Larry, OR 77647",,Life Insurance,5040,2023-08-11 06:34:00,Online,941082,382,58100,Passport,Pay Stub,Tax Return,Child,Apartment,Truck,Jewelry,Previous Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Approved,Action or value.
Heidi Barnes,1995-08-09,"84160 Santiago Garden
East Jonathan, DE 64311",,Life Insurance,92824,2021-04-12 22:56:26,In-Person,924676,681,67281,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Stocks,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Further Investigation,Market run single avoid effect have themselves.
Karen Pope,1956-03-31,"4740 Jones Run Suite 148
West Misty, VA 10744",868-10-2695,Auto Loan,91848,2020-08-23 04:46:36,Online,59231,565,90768,Passport,Pay Stub,Tax Return,None,Single-Family Home,Truck,Jewelry,Previous Claims,Previous Applications,High Risk Area,Low Risk,Suspicious Activity,Further Investigation,Grow do group involve provide.
Jaime Jones,1953-10-22,"755 Mary Forges Apt. 809
Stephaniemouth, MO 67237",034-47-9303,Life Insurance,41657,2022-09-15 20:38:34,Online,116451,769,49636,Passport,Letter of Employment,Tax Return,Child,Single-Family Home,SUV,Jewelry,Previous Claims,No Applications,Low Risk Area,Low Risk,No Indicators,Further Investigation,Sort by herself surface.
Jessica Carlson,1976-05-02,"2865 Maria Streets
Emilyville, WV 95748",,Mortgage,17325,2023-09-12 23:28:57,Online,646936,758,98315,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Approved,Science major wide option result.
Monica Andrews,1989-11-11,"627 Melanie Station Suite 741
Port Michael, AR 55403",482-85-3247,Life Insurance,8777,2021-01-29 11:06:05,Online,662916,419,2971,Driver's License,Pay Stub,Bank Statements,None,Single-Family Home,Truck,Artwork,No Claims,No Applications,High Risk Area,Medium Risk,Red Flags,Denied,Smile fill his two least teacher health.
Richard Craig,1993-03-17,"23041 Ross Squares
Guerreroview, WI 63008",590-37-4309,Mortgage,55687,2023-01-27 07:19:58,In-Person,415079,780,77268,Passport,Letter of Employment,Tax Return,Spouse,Condo,Truck,Stocks,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Local seat school body hard job while.
Lori Kidd,1956-08-19,"8462 Meyers Shoal Suite 975
Jessicaside, MT 81349",,Life Insurance,91449,2020-07-26 19:47:18,In-Person,396419,316,9674,Passport,Letter of Employment,Bank Statements,Child,Apartment,SUV,Artwork,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Thing base after.
Mr. John Jones,1966-11-30,"986 Fitzpatrick Lodge Suite 811
New Evan, TX 18364",,Life Insurance,27858,2022-01-22 13:48:26,Online,85683,347,55470,Passport,Pay Stub,Tax Return,Child,Single-Family Home,SUV,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Approved,Least per every method.
Carrie Herrera,2001-03-16,"795 Parsons Lodge Apt. 678
Alyssatown, MI 47719",298-31-4676,Auto Loan,96636,2020-09-06 00:40:18,Online,778615,730,98339,Driver's License,Letter of Employment,Bank Statements,Spouse,Condo,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Suspicious Activity,Approved,Especially morning night road executive.
Pamela Harris,1964-01-30,"93745 Collin Centers Suite 481
South Brandonborough, PR 51072",390-51-7093,Mortgage,42213,2021-12-23 10:37:57,In-Person,606313,706,67087,Passport,Pay Stub,Tax Return,Spouse,Condo,SUV,Artwork,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Company cause season.
Kimberly Kim,1993-05-21,"843 Jones Port
North Nicholasfurt, RI 28254",642-74-1338,Life Insurance,74644,2021-11-02 02:44:25,Online,163842,838,44459,Driver's License,Pay Stub,Bank Statements,Spouse,Condo,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Approved,Alone plant away catch run case should.
Frederick Arnold,1983-03-14,"89021 Jennifer Radial
Jillville, ND 88149",583-74-1060,Auto Loan,88712,2020-02-21 21:35:24,In-Person,134721,532,21319,Driver's License,Letter of Employment,Tax Return,Child,Condo,Sedan,Artwork,Previous Claims,No Applications,Low Risk Area,Low Risk,Suspicious Activity,Denied,Phone cover we front eye.
Lisa Shea,1999-12-20,"195 Christopher Vista
South Nathanland, TX 32770",870-19-3404,Mortgage,27039,2022-11-28 06:05:35,Online,855165,568,84030,Driver's License,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Local difference much face.
Walter Golden,2002-01-03,"43344 Smith Overpass Apt. 507
Timothyville, MA 05821",,Mortgage,47834,2021-01-17 09:15:23,Online,783263,326,24516,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Truck,Jewelry,Previous Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Further Investigation,She bar modern let floor each save how.
Sherry Smith,1971-06-01,"96981 Huffman Parks
Stephanieside, SC 75131",,Mortgage,83054,2021-07-09 00:21:18,Online,120204,421,75964,Passport,Letter of Employment,Tax Return,None,Condo,Truck,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Trouble doctor candidate concern.
Frank Gonzalez,1998-04-13,"Unit 8519 Box 0564
DPO AA 45983",700-79-4032,Mortgage,41162,2020-08-19 21:13:57,Online,839608,343,73500,Passport,Pay Stub,Tax Return,Spouse,Condo,SUV,Artwork,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Further Investigation,Will enjoy memory order purpose individual.
Corey Rice,1982-09-05,"0043 Alyssa Mill
Hallmouth, MH 13217",,Auto Loan,1020,2020-12-03 23:41:15,Online,552528,364,16541,Passport,Pay Stub,Bank Statements,Spouse,Apartment,Sedan,Jewelry,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Approved,Best authority drive upon.
Robin Arnold,1999-02-21,"3628 Costa Walks
East Evanport, MH 95271",862-19-6767,Life Insurance,59271,2020-06-01 17:27:38,In-Person,718335,345,64419,Driver's License,Letter of Employment,Bank Statements,Child,Single-Family Home,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,High Risk,No Indicators,Approved,Hot poor surface customer.
Reginald Harrison DDS,1998-07-08,"39605 Fisher Mall
Fishertown, RI 76950",,Mortgage,19728,2022-01-26 08:47:10,Online,513534,823,305,Passport,Pay Stub,Bank Statements,Child,Apartment,SUV,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Approved,Quickly door since third scientist few.
Kayla Hughes,1958-11-19,"844 Sharon Heights
North Patrickfurt, CT 24555",597-12-8727,Auto Loan,78813,2023-07-09 17:00:09,Online,661944,337,36326,Driver's License,Letter of Employment,Bank Statements,None,Condo,SUV,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Further Investigation,Political produce catch operation business get.
Benjamin Dixon,1996-08-11,"57222 Roberson Station Apt. 730
West Thomastown, AR 90419",,Life Insurance,67856,2022-02-06 01:11:23,In-Person,150695,422,65088,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Truck,Jewelry,Previous Claims,No Applications,Low Risk Area,High Risk,Suspicious Activity,Denied,Meeting say war evidence.
Anthony Lee,1966-06-30,"21825 Rodriguez Cliff
Julieland, MA 31064",,Auto Loan,42958,2023-06-25 20:54:16,Online,275742,518,43953,Passport,Letter of Employment,Bank Statements,None,Apartment,SUV,Artwork,No Claims,Previous Applications,Low Risk Area,Low Risk,Red Flags,Denied,Church send first audience production.
Jared Powell,1989-11-12,"765 Miller Coves Suite 617
Lake Matthew, TX 13853",745-27-5286,Life Insurance,34885,2023-02-03 00:54:57,In-Person,170439,529,38392,Passport,Pay Stub,Tax Return,Child,Single-Family Home,SUV,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,No Indicators,Denied,Agreement term focus up suddenly boy.
Tara Murphy,1953-10-19,"0903 Julie Islands Suite 072
Lake Gregory, VA 42632",,Life Insurance,63067,2023-01-23 05:30:30,In-Person,541850,632,37884,Passport,Letter of Employment,Tax Return,Child,Single-Family Home,SUV,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,Suspicious Activity,Denied,Free happy why remember hour event.
Jennifer Martinez,1957-11-05,"26988 Kelly Camp
Lake Kimberly, IA 32653",578-61-3639,Life Insurance,48865,2021-08-08 17:47:35,In-Person,891956,687,45921,Driver's License,Pay Stub,Bank Statements,Child,Condo,Sedan,Stocks,No Claims,Previous Applications,Low Risk Area,Medium Risk,No Indicators,Further Investigation,View nothing coach training very.
Sheila Fields,1965-04-14,"5691 Sullivan Street Suite 023
Clarkshire, AZ 99249",,Auto Loan,45674,2022-07-21 01:19:53,Online,83021,475,96248,Passport,Pay Stub,Bank Statements,None,Single-Family Home,SUV,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,Red Flags,Approved,Education yard also agent miss man call.
Megan Perez,1980-06-01,"88206 Williams Stream Apt. 422
Lake Kimberlybury, AL 95569",363-76-8471,Auto Loan,11951,2023-03-28 16:59:56,In-Person,725976,329,59507,Driver's License,Letter of Employment,Tax Return,Child,Condo,SUV,Artwork,Previous Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Appear three yes affect will serve environment social.
Robert Schmitt,1999-02-08,"13687 Roman Crossroad
West Carolberg, ND 33703",,Mortgage,14233,2021-07-22 10:49:02,In-Person,450457,404,99325,Driver's License,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Artwork,Previous Claims,No Applications,High Risk Area,Medium Risk,Suspicious Activity,Further Investigation,Interest audience book draw.
Annette Gilbert,1961-03-24,"9642 Gregory Lodge
Cohenburgh, NC 67058",167-81-5418,Auto Loan,59171,2021-12-28 23:58:09,In-Person,364287,548,48338,Passport,Letter of Employment,Tax Return,Spouse,Condo,Truck,Jewelry,No Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Denied,Lot someone back operation cold.
Sheri Brown,1977-10-15,"33242 Zimmerman Club
Casechester, MD 50669",,Auto Loan,8891,2020-07-17 23:32:44,In-Person,531803,774,95083,Driver's License,Letter of Employment,Bank Statements,Child,Apartment,Truck,Artwork,Previous Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Approved,We management north around very year catch.
Jacob Cox,2002-08-17,"90354 Cook Cape
South Jenniferside, WI 44690",534-71-1791,Mortgage,45121,2023-08-26 23:39:55,In-Person,47623,767,53098,Passport,Letter of Employment,Bank Statements,Child,Condo,Truck,Jewelry,No Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Denied,College soon boy land visit write reason.
Shelly Smith,1977-10-19,"46259 Katherine Turnpike
New Ashley, RI 36109",,Mortgage,87189,2022-01-16 15:53:44,Online,829538,723,73284,Driver's License,Pay Stub,Tax Return,Spouse,Single-Family Home,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Choose weight business specific keep gas.
Anthony Nichols,2000-04-20,"PSC 2549, Box 7828
APO AP 91964",228-96-0696,Life Insurance,21008,2021-12-16 21:26:54,Online,273445,710,27203,Passport,Pay Stub,Bank Statements,Spouse,Single-Family Home,Sedan,Jewelry,No Claims,No Applications,High Risk Area,Medium Risk,Red Flags,Approved,Center difference book feeling along.
